Target,Model,Type,Val_RMSE,Test_RMSE,Test_R2,Stability_RMSE,Residual_Std
QUOTE,XGBoost Tuned (2+1-dim) (with Quote),Joint,0.08069959670641728,0.08017812277084713,0.945283055305481,0.08017812277084713,0.07913316041231155
SCR,MLPRegressor Tuned (2+1-dim) (with Quote) (Enhanced SCR Component),Joint,0.07326642080011347,,,0.0823275426069193,0.08218045831124543
EM,MLPRegressor Tuned (2+1-dim) (with Quote) (Enhanced EM Component),Joint,0.054310521941801054,,,0.05410345117157597,0.05196377266917364
MULTI_OUTPUT,MLPRegressor Tuned (2+1-dim) (with Quote),Joint,0.0644887634028214,0.10550638692910336,0.9052525162696838,,
